key_ru	en
Твой промокод:	Your promo code:
🪙 · Проиграно:	🪙 · Lost:
🔮 Гильдия магов	🔮 Mage Guild
🔥 Кузница сетов	🔥 Set forge
📜 События клана	📜 Clan events
🚪 Покинуть клан	🚪 Leave clan
Ускорить за Души	Speed up for Souls
+500 🪙 и +100 🔥	+500 🪙 and +100 🔥
🪜 Лестница в Небо	🪜 Stairway to Heaven
📜 Совет старейшин	📜 Council of Elders
передать лидерство	transfer leadership
🗂️ Коллекция сетов	🗂️ Set collection
📦 Мои выставленные	📦 My listings
⏳ Загрузка таблицы…	⏳ Loading table…
🤖 Тренировочный бой	🤖 Training fight
🪙 Выставить ресурсы	🪙 List resources
📜 Изучить заклинания	📜 Learn spells
1 Душа → 1000 🔥 Искр	1 Soul → 1000 🔥 Sparks
(👑 лидер · 🎖 офицер)	(👑 leader · 🎖 officer)
промокод пригласившего	inviter's promo code
🪖 Снаряжение за золото	🪖 Gear for gold
1 Душа → 1000 🪙 Золота	1 Soul → 1000 🪙 Gold
написать сообщение дня…	write the message of the day…
🤝 Реферальная программа	🤝 Referral program
Уже кастовали в этот ход	Already cast this turn
📚 Академия — Энциклопедия	📚 Academy — Encyclopedia
Введи код друга — получишь	Enter a friend's code — get
Вставить усилитель в гнездо	Insert an enhancer into the socket
Приручить ослабленного зверя	Tame a weakened beast
Ввести промокод пригласившего	Enter the inviter's promo code
На главную — Вавилонская башня	To home — Babylon Tower
Сменить язык / Switch language	Switch language / Сменить язык
Пока никто не приглашал игроков	No one has invited players yet
🔒 Стройка построек откроется на	🔒 Building construction unlocks at
✅ Сегодня получено. Загляни завтра!	✅ Claimed today. Come back tomorrow!
✅ Промокод пригласившего уже применён.	✅ The inviter's promo code is already applied.
. Только один раз, в течение 7 дней с создания героя.	. Only once, within 7 days of creating the hero.
Приглашай друзей промокодом — за каждого нового игрока	Invite friends with a promo code — for each new player
🔎 Поиск по энциклопедии (статы, топливо, заклинания…)	🔎 Search the encyclopedia (stats, fuel, spells…)
⌛ Окно ввода промокода (7 дней с создания героя) истекло.	⌛ The promo code window (7 days since hero creation) has expired.
Нет сохранённых сборок. Оденься как нужно и сохрани комплект.	No saved loadouts. Equip as needed and save a set.
Гнёзда для усилителей-самоцветов (создаются огранкой камней 💎)	Sockets for gem enhancers (created by cutting gems 💎)
Нет частей сетов в рюкзаке. Надетые сначала снимите в Покоях героя.	No set parts in the backpack. Unequip worn ones in the Hero's Chambers first.
Души — премиум-валюта. Здесь их можно обменять.	Souls are a premium currency. You can exchange them here.
Твои 2 кубика против заведения. Больше — выигрыш ×2, ничья — возврат ставки.	Your 2 dice against the house. Higher — ×2 win, a draw returns the bet.
Кланы доступны только в Telegram (нужен облачный аккаунт). Открой игру через бота.	Clans are available only in Telegram (a cloud account is required). Open the game via the bot.
Ответы на вопросы об устройстве мира и механиках. Найдите тему или раскройте раздел.	Answers about the world and its mechanics. Find a topic or expand a section.
Алхимия: эликсиры (лечат в бою), зелья (бросаются во врага), мази (усиления вне боя).	Alchemy: elixirs (heal in combat), potions (thrown at enemies), balms (buffs outside combat).
Хлеба и зрелищ! Азартные игры на золото. Дом всегда немного в выигрыше — играй с умом.	Bread and circuses! Gambling for gold. The house always has a slight edge — play wisely.
Скуй недостающие части найденных комплектов и перековывай их на более высокую рарность.	Forge the missing parts of found sets and reforge them to higher rarity.
Купить ресурсы, снаряжение и расходники, продать трофеи. Цены продажи — половина закупки.	Buy resources, gear and consumables, sell loot. Sale prices are half of purchase.
Собери предметы одного класса (напр. «Звёздный аркан») — за надетые части дают сет-бонусы.	Collect items of one class (e.g. «Star Arcanum») — worn parts grant set bonuses.
Найди в походах хотя бы одну часть любого сета — и сможешь сковать остальные его части здесь.	Find at least one part of any set on expeditions — then you can forge its remaining parts here.
Мастерство повышает качество изделий и открывает «тайные знания» — новые рецепты в мастерских.	Mastery improves item quality and unlocks «secret knowledge» — new recipes in workshops.
Журнал заданий. Многие квесты имеют «градиент» — повторяются с растущей целью (10 / 100 / 1000).	Quest log. Many quests have a «gradient» — they repeat with a growing goal (10 / 100 / 1000).
Торговля между полубогами. Комиссия с продажи — 1%. Выручка приходит при следующей синхронизации.	Trading between demigods. Sale fee — 1%. Earnings arrive on the next sync.
Торговля между игроками доступна только в Telegram (нужен облачный аккаунт). Открой игру через бота.	Player trading is available only in Telegram (a cloud account is required). Open the game via the bot.
Спустись к смертным и собери ресурсы 1 уровня сам — бесплатно, удача и навык дают шанс добыть больше.	Descend to the mortals and gather tier-1 resources yourself — free; luck and skill give a chance for more.
Переработка ресурсов 1→2 уровня и создание снаряжения. Уголь как топливо повышает качество (закалка).	Processing tier 1→2 resources and crafting gear. Charcoal as fuel improves quality (tempering).
Готовое снаряжение без крафта — оденься хоть сейчас. Легендарки тут не продаются (их крафтят/добывают).	Ready-made gear without crafting — equip right away. Legendaries aren't sold here (they're crafted/looted).
. Части падают в походах — рарность тем выше, чем выше уровень героя и сложность (на 200% — самые редкие).	. Parts drop on expeditions — the higher the hero's level and difficulty, the higher the rarity (rarest at 200%).
Пустое гнездо. Сначала создай усилитель в «💎 Усилители (огранка)» (Покои → Экипировка), затем вставь его сюда.	Empty socket. First create an enhancer in «💎 Enhancers (cutting)» (Chambers → Equipment), then insert it here.
Заходи каждый день за наградой (стрик повышает её на 7-й день) и выполняй ежедневные задания. Сброс — каждый день.	Come back daily for a reward (the streak boosts it on day 7) and complete daily quests. Resets every day.
Вступи в клан или основай свой. Чем больше клан — тем выше пассивный бонус всем участникам (+1 к статам за каждые 3 бойца, до +4).	Join a clan or found your own. The bigger the clan, the higher the passive bonus for all members (+1 to stats per 3 fighters, up to +4).
Одолжи экипировку клану (📦 в инвентаре) или арендуй чужую. Арендованное можно только носить — владелец вправе забрать в любой момент.	Lend gear to the clan (📦 in the backpack) or rent others'. Rented items can only be worn — the owner may reclaim them at any time.
Питомцев нет. Ослабь зверя (не босса) в бою примерно до 35% HP и нажми «🐾 приручить». Навык Приручение повышает шанс поимки и число активных питомцев (по +1 за 5 уровней, до 3).	No pets. Weaken a beast (not a boss) in combat to about 35% HP and tap «🐾 tame». The Taming skill increases the catch chance and the number of active pets (+1 per 5 levels, up to 3).
Рюкзак	Backpack
Питомцы	Pets
всего:	total:
в резерве	in reserve
✅ в строю	✅ in party
Активные бьют раз в раунд по цели.	Active ones strike once per round at the target.
д	d
м	m
с	s
⚔️ В бой с боссом	⚔️ Fight the boss
Забери награду: Кланы → Рейд.	Claim your reward: Clans → Raid.
Квесты	Quests
Зал славы	Hall of Fame
Обзор	Overview
Арсенал	Armory
Улучшения	Upgrades
Чат	Chat
Журнал	Log
Рейд	Raid
Купить вещи	Buy items
Продать вещи	Sell items
Купить ресурсы	Buy resources
Продать ресурсы	Sell resources
максимальный ранг	maximum rank
до ранга «{r}»: {n}	to rank «{r}»: {n}
Сообщение дня	Message of the day
🔒 закрыть приём	🔒 close intake
🔓 открыть приём	🔓 open intake
ко всем статам	to all stats
за состав	for size
Артефакт	Artifact
бонус:	bonus:
только что	just now
{n}м назад	{n}m ago
{n}ч назад	{n}h ago
{n}д назад	{n}d ago
Кузница	Smithy
Столярная	Carpentry
Кожевня	Tannery
Ткацкая	Loom
Плавильня	Smeltery
Ювелирная	Jewelry
Лаборатория	Laboratory
усиление:	buff:
откроется:	unlocks:
шт.	pc
💀 Поражение	💀 Defeat
Раунд {r}: ты {dmg} урона → HP врага {hp}	Round {r}: you {dmg} dmg → enemy HP {hp}
{opp} {dmg} урона → твой HP {hp}	{opp} {dmg} dmg → your HP {hp}
Бойцы рядом с тобой по силе. Бой авто-расчётный — победа даёт золото и опыт. Награда — за первые 25 боёв в день.	Fighters near your power level. Combat is auto-resolved — a win gives gold and experience. Reward is for the first 25 fights a day.
Возводи постройки (это занимает время — чем выше уровень, тем дольше) и собирай урожай. Город — стержень: его уровень задаёт потолок остальных построек, бустит шахты и расширяет склад. Строится одно здание за раз; можно ускорить за Души.	Erect buildings (this takes time — the higher the level, the longer) and collect the harvest. The City is the core: its level caps the other buildings, boosts mines and expands storage. One building is built at a time; you can speed it up for Souls.
урона.	damage.
Босс ещё жив — продолжите всем кланом.	The boss is still alive — continue with the whole clan.
урона · полноценный бой без лимита урона: бей сколько выдержишь. Перезарядка 10 мин — только если отступил/пал (босс выжил); убил — сразу следующий.	damage · a full fight with no damage cap: hit as much as you can. 10-min cooldown only if you retreated/fell (boss survived); on a kill — straight to the next.
⬆️ Улучшение заклинаний (до +{cap} на ранге)	⬆️ Spell upgrades (up to +{cap} at your rank)
🐉 Рейд	🐉 Raid
🏆 Победа!	🏆 Victory!
☠️ Поражение	☠️ Defeat
к шахтам	to mines
лимит склада	storage limit
ч	h
построить	build
Постройки смертных	Mortal buildings
Подати с горожан. Каждый уровень +5% к добыче всех шахт.	Taxes from citizens. Each level +5% to all mine output.
Смертные валят лес — бревно.	Mortals fell timber — logs.
Добыча камня.	Stone mining.
Добыча руды.	Ore mining.
Лён и волокно.	Flax and fiber.
🔒 Стройка построек откроется на <b>{n}</b> уровне героя (сейчас {have}). Пока добывай ресурсы руками ниже.	🔒 Building construction unlocks at hero level <b>{n}</b> (currently {have}). For now, gather resources by hand below.
достичь <b>{n}</b> ур. (у вас {have})	reach level <b>{n}</b> (you have {have})
💬 Чат мира	💬 World Chat
сообщение…	message…
сообщение клану…	message to clan…
Чат доступен только в Telegram (нужен облачный аккаунт). Открой игру через бота.	Chat is available only in Telegram (a cloud account is required). Open the game via the bot.
Глобальный	Global
🚫 Мат запрещён. Чат заблокирован на {n} мин ({s}/3).	🚫 Profanity is banned. Chat blocked for {n} min ({s}/3).
🚫 Вы заблокированы в чате ещё на {n} мин.	🚫 You are blocked in chat for another {n} min.
🚫 Вы навсегда заблокированы в чате за нарушения.	🚫 You are permanently banned from chat for violations.
Питомцы (Приручение)	Pets (Taming)
Усилители и огранка самоцветов	Enhancers and gem cutting
Профессии и мастерство	Professions and mastery
Арена (тренировка)	Arena (training)
Клановый рейд и арсенал	Clan raid and armory
Чаты (мир и клан)	Chats (world and clan)
Барахолка (торговля между игроками)	Marketplace (player trading)
Ослабь дикого зверя (не босса) в бою примерно до 35% HP и нажми «🐾 приручить» — прирученный питомец будет помогать тебе в бою.	Weaken a wild beast (not a boss) in combat to about 35% HP and tap «🐾 tame» — a tamed pet will help you in battle.
Навык <b>Приручение</b> повышает шанс поимки и число активных питомцев — по +1 за каждые 5 уровней навыка, максимум 3. Питомцы видны в Покоях героя на вкладке «Питомцы».	The <b>Taming</b> skill raises the catch chance and the number of active pets — +1 for every 5 skill levels, up to 3. Pets are shown in the Hero's Chambers on the «Pets» tab.
Из самоцветов (💎) огранкой создаются <b>усилители</b> — каждый даёт прибавку к одному стату. Огранка доступна в Покоях героя → Экипировка → блок «💎 Усилители (огранка)».	Gems (💎) are cut into <b>enhancers</b> — each grants a bonus to one stat. Cutting is available in the Hero's Chambers → Equipment → the «💎 Enhancers (cutting)» block.
Снаряжение с гнёздами (💠) принимает усилители: вставь самоцвет в гнездо, чтобы добавить статов; усилитель можно вынуть обратно. Чем мощнее огранка, тем выше бонус и больше расход искр.	Gear with sockets (💠) accepts enhancers: insert a gem into a socket to add stats; an enhancer can be taken back out. The stronger the cut, the higher the bonus and the more sparks it costs.
У ремёсел есть уровни мастерства (Столяр, Кузнец, Алхимик и другие). Мастерство растёт от создания вещей и повышает их качество.	Crafts have mastery levels (Carpenter, Blacksmith, Alchemist and others). Mastery grows from creating items and raises their quality.
Рост уровня профессии открывает «тайные знания» — новые рецепты в мастерских и лабораториях. Текущие уровни видны в разделе «Профессии».	Leveling up a profession unlocks «secret knowledge» — new recipes in workshops and laboratories. Current levels are shown in the «Professions» section.
Клуб магов: вступление за разовый взнос. <b>Ранг</b> растёт с суммой уровней стихий (пороги 20 / 60 / 120).	A club of mages: join for a one-time fee. <b>Rank</b> grows with the sum of your element levels (thresholds 20 / 60 / 120).
В гильдии можно <b>улучшать</b> известные заклинания (до предела по рангу, +N к силе) за золото, искры и самоцветы, а также <b>изучать</b> новые заклинания, открытые по рангу.	In the guild you can <b>upgrade</b> known spells (up to the rank cap, +N power) for gold, sparks and gems, and <b>learn</b> new spells unlocked by rank.
На Арене можно сразиться с тёмным двойником ради опыта и золота — без риска потерять вещи. Сила двойника зависит от твоей «опасности».	In the Arena you can fight a dark twin for experience and gold — with no risk of losing items. The twin's power depends on your «danger».
Награда даётся за первые 25 боёв в день; сверх лимита бой засчитывается, но без золота и опыта.	The reward is granted for the first 25 fights per day; beyond the limit the fight counts but gives no gold or experience.
Клан — объединение до 20 игроков. Можно создать свой клан или вступить в открытый. У клана есть казна, улучшения, состав, журнал событий, чат и совместный рейд.	A clan is a group of up to 20 players. You can create your own clan or join an open one. A clan has a treasury, upgrades, a roster, an event log, a chat and a shared raid.
Казна (🪙) пополняется взносами участников и наградами рейда; из неё лидер оплачивает улучшения клана:	The treasury (🪙) is filled by member donations and raid rewards; the leader spends it on clan upgrades:
<b>Бонус клана</b> даёт всем участникам прибавку ко всем статам: +1 за размер состава и ещё +1 за каждый уровень «Артефакта клана».	<b>Clan bonus</b> grants every member a bonus to all stats: +1 for the roster size and +1 more for each level of the «Clan Artifact».
<b>Рейд</b> — общий босс клана с единым пулом HP. Это полноценный интерактивный бой: бей босса сколько выдержишь за заход, нанесённый урон вычитается из общего пула.	<b>Raid</b> is a shared clan boss with a single HP pool. It is a full interactive fight: hit the boss as long as you can hold out per run, and the damage dealt is subtracted from the shared pool.
Перезарядка 10 минут включается только если ты отступил или пал (босс выжил). Убил — сразу можно идти на следующего, более крепкого. После убийства награда (золото, искры, опыт) начисляется всем участникам и забирается в разделе «Рейд».	A 10-minute cooldown kicks in only if you retreat or fall (the boss survived). If you kill it — you can go straight to the next, tougher one. After a kill the reward (gold, sparks, experience) is granted to all members and collected in the «Raid» section.
<b>Арсенал</b> — клановый прокат снаряжения. Одолжи свою вещь клану (📦 в инвентаре) или арендуй чужую. Арендованное можно только носить — владелец вправе забрать его в любой момент.	<b>Armory</b> is the clan's gear rental. Lend your item to the clan (📦 in the inventory) or rent someone else's. Rented gear can only be worn — the owner may reclaim it at any moment.
Чат мира — общий живой чат всех игроков. Вкладки: 🌐 «Глобальный» и по флажку на каждый язык; вкладка просто выбирает комнату, язык сообщений не проверяется. У клана есть отдельный чат.	World chat is a shared live chat for all players. Tabs: 🌐 «Global» and one flag per language; a tab simply picks a room, the message language is not checked. A clan has its own separate chat.
<b>Модерация.</b> Мат запрещён: за нарушение — блокировка чата на час, после трёх нарушений — навсегда. Бан общий для мирового и кланового чатов.	<b>Moderation.</b> Profanity is banned: a violation blocks chat for an hour, and after three violations — permanently. The ban is shared between world and clan chats.
На Барахолке игроки продают друг другу вещи за золото: выставляй свои предметы на продажу или покупай чужие.	On the Marketplace players sell items to each other for gold: list your own items for sale or buy others'.
Лимит — 12 активных лотов на игрока, лот живёт 30 дней. С продажи удерживается комиссия 1%, остальное приходит продавцу.	The limit is 12 active lots per player, and a lot lives for 30 days. A 1% commission is withheld from a sale, the rest goes to the seller.
Скуй недостающие части найденных комплектов.	Forge the missing parts of the sets you have found.
Перековка сохраняет заточку и камни, но по Душам дороже прямой покупки — целую вещь нужной рарности выгоднее купить в Магазине.	Reforging keeps the enchant and gems, but costs more Souls than buying directly — it is cheaper to buy a whole item of the needed rarity in the Shop.
👻 <b>Души</b> — премиум-валюта: покупаются за Telegram Stars (⭐) или выдаются за ключевые квесты. Меняются в Банке на Золото и Искры.	👻 <b>Souls</b> — premium currency: bought with Telegram Stars (⭐) or awarded for key quests. Exchanged at the Bank for Gold and Sparks.
Монетизация: паки Душ за Telegram Stars, премиум-предметы и сеты за Души в Магазине, премиум-аккаунт (за Stars или Души) и комиссия барахолки. Вывод дохода — на стороне владельца (Stars → TON через Fragment).	Monetization: Soul packs for Telegram Stars, premium items and sets for Souls in the Shop, a premium account (for Stars or Souls), and a marketplace commission. Revenue payout is on the owner side (Stars → TON via Fragment).
Барахолка делится на две вкладки: «За монеты» (обычные вещи и ресурсы) и «За души» (сетовые предметы). За души комиссия выше — 10%.	The marketplace has two tabs: “For coins” (ordinary items and resources) and “For souls” (set items). For souls the commission is higher — 10%.
За монеты	For coins
цена	price
В рюкзаке нет сетовых вещей этой категории.	No set items of this category in the backpack.
За души продаются сетовые вещи. Комиссия — 10% (сжигается). Выручка приходит при следующей синхронизации.	Set items are sold for Souls. Commission is 10% (burned). Proceeds arrive on the next sync.
🏷️ Лот выставлен: «{item}» за {price} {icon}.	🏷️ Lot listed: “{item}” for {price} {icon}.
🛍️ Куплено: {qty}× {res} за {price} {icon}.	🛍️ Bought: {qty}× {res} for {price} {icon}.
🛍️ Куплено: «{item}» за {price} {icon}.	🛍️ Bought: “{item}” for {price} {icon}.
💰 Выручка с барахолки: +{n} 👻	💰 Marketplace proceeds: +{n} 👻
💰 +{n} 👻 за проданные лоты!	💰 +{n} 👻 for sold lots!
↩️ С барахолки вернулись вещи: {n}	↩️ Items returned from the marketplace: {n}
↩️ С барахолки вернулось вещей: {n}	↩️ Items returned from the marketplace: {n}
Премиум-аккаунт	Premium account
Премиум активен до	Premium active until
Премиум не активен	Premium not active
Арена: {n} боёв с наградой в день	Arena: {n} rewarded fights per day
Сборки экипировки: до {n}	Gear loadouts: up to {n}
Значок 👑 в чате и рейтинге	👑 badge in chat and ranking
{d} дней за {s} ⭐	{d} days for {s} ⭐
{d} дней за {s} 👻	{d} days for {s} 👻
👑 Премиум-аккаунт активирован!	👑 Premium account activated!
<b>Премиум-аккаунт</b> (в Банке): за Stars или Души на 30 дней. Даёт удобства, а не боевое преимущество: больше боёв на Арене с наградой в день, больше слотов под сборки экипировки и значок 👑 в чате и рейтинге.	<b>Premium account</b> (at the Bank): for Stars or Souls for 30 days. It gives convenience, not a combat advantage: more rewarded Arena fights per day, more gear-loadout slots, and a 👑 badge in chat and the ranking.
За ресурсы	For resources
За души	For souls
Весь сет	Whole set
Готовые сетовые предметы за Души. Комплектом — дешевле.	Ready-made set items for Souls. Cheaper as a full set.
👻 Недостаточно Душ для покупки.	👻 Not enough Souls for the purchase.
🛒 Куплено: {item} за {souls} 👻.	🛒 Purchased: {item} for {souls} 👻.
🛒 Куплен сет «{set}» за {souls} 👻.	🛒 Set “{set}” purchased for {souls} 👻.
<b>Премиум-лавка</b> (Магазин → вкладка «За души»): готовые сетовые предметы можно купить за Души — по частям или целым комплектом (сетом дешевле). Рарность выбирается вкладкой.	<b>Premium store</b> (Shop → “For souls” tab): ready-made set items can be bought for Souls — piece by piece or as a whole set (cheaper as a set). Rarity is chosen with a tab.
Купить души	Buy souls
Оплата звёздами Telegram — души зачислятся автоматически.	Pay with Telegram Stars — souls are credited automatically.
Покупки доступны только в Telegram.	Purchases are available only in Telegram.
Обновите Telegram для оплаты.	Update Telegram to pay.
Не удалось создать счёт.	Could not create the invoice.
Оплата прошла! Зачисляем души…	Payment received! Crediting souls…
Оплата прошла! Души зачислятся в течение 1–2 минут.	Payment received! Souls will be credited within 1–2 minutes.
Платёж не прошёл.	Payment failed.
Начислено {n} 👻	{n} 👻 credited
Души выдаются за ключевые квесты или покупаются за Telegram Stars (⭐).	Souls are awarded for key quests or bought with Telegram Stars (⭐).
Души можно купить за Telegram Stars (⭐) прямо в Банке — это премиум-валюта, на которую затем берут премиум-предметы и услуги. Оплата проходит через Telegram, души зачисляются автоматически.	Souls can be bought with Telegram Stars (⭐) right in the Bank — a premium currency later spent on premium items and services. Payment goes through Telegram, and souls are credited automatically.
Вступить за	Join for
Купить билет	Buy ticket
Награда за этап:	Stage reward:
Награда:	Reward:
Направления:	Directions:
Стихии:	Elements:
Трофеи:	Loot:
Опасность	Danger
опасн.	dgr
изучить	learn
копится…	accruing…
в час	per hour
сложность	difficulty
создать за	create for
ставка	bet
тир	tier
Вещь:	Item:
одеть лучшее	equip best
Достижения	Achievements
Схема снаряжения:	Gear schematic:
Формула заклинания:	Spell formula:
Заявки	Applications
топливо:	fuel:
уголь	coal
или	or
бревно	log
не хватает:	missing:
строится	building
Опыт:	XP:
Золото:	Gold:
Искры:	Sparks:
день	day
подряд	in a row
Мир закрыт. Нужно:	World locked. Required:
Состав	Members
есть	have
и	and
голова	head
торс	torso
левая рука	left arm
правая рука	right arm
ноги	legs
сек	sec
раунд	round
эффекты:	effects:
⚔️ Бой начался: {mobs}	⚔️ Battle started: {mobs}
⏰ Время хода истекло! Враги атакуют.	⏰ Turn time is up! Enemies attack.
🌀 {name} уклонился от удара (в {zone}).	🌀 {name} dodged the attack (at {zone}).
🗡️ Удар по «{name}» в {zone}: −{dmg} HP{crit}{max}.	🗡️ Hit on «{name}» at {zone}: −{dmg} HP{crit}{max}.
💀 «{name}» повержен!	💀 «{name}» defeated!
🧙 Уже применили заклинание в этот ход.	🧙 You already cast a spell this turn.
💧 Недостаточно маны.	💧 Not enough mana.
💚 {spell}: +{h} HP{crit}.	💚 {spell}: +{h} HP{crit}.
✨ {spell} по «{name}»: −{dmg} HP{crit}.	✨ {spell} on «{name}»: −{dmg} HP{crit}.
💀 «{name}» повержен магией!	💀 «{name}» defeated by magic!
💥 {name}: −{dmg} HP.	💥 {name}: −{dmg} HP.
☠️ «{name}» отравлен.	☠️ «{name}» is poisoned.
🛡️ {spell}: +{v} защиты на {r} р.	🛡️ {spell}: +{v} defense for {r} r.
📉 У «{name}» −{v} защиты.	📉 «{name}»: −{v} defense.
🕳️ «{name}» в яме — пропустит ход.	🕳️ «{name}» falls into a pit — will skip a turn.
«Яма» не сработала.	«Pit» did not work.
🧪 Эффекты яда сняты.	🧪 Poison effects removed.
🌬️ Щиты и бури сдуты.	🌬️ Shields and storms blown away.
🧴 {item}: +{h} HP.	🧴 {item}: +{h} HP.
🧴 {item}: +{m} MP.	🧴 {item}: +{m} MP.
🍶 {item} в «{name}»: −{dmg} HP.	🍶 {item} on «{name}»: −{dmg} HP.
🧪 {item}: яд нейтрализован.	🧪 {item}: poison neutralized.
🧪 {item}: яда не было.	🧪 {item}: there was no poison.
🤐 «{name}» онемел — не колдует {r} р.	🤐 «{name}» is silenced — no casting for {r} r.
🪨 {item}: +{conc} защиты и маг. сопротивление на {r} р.	🪨 {item}: +{conc} defense and magic resistance for {r} r.
🏃 Вы сбежали из боя.	🏃 You fled the battle.
Сбежать не удалось!	Failed to flee!
☠️ Яд: «{name}» −{v} HP.	☠️ Poison: «{name}» −{v} HP.
☠️ Вы теряете {v} HP от яда.	☠️ You lose {v} HP to poison.
🐾 {pet} атакует «{name}»: −{dmg} HP.	🐾 {pet} attacks «{name}»: −{dmg} HP.
💀 «{name}» повержен питомцем!	💀 «{name}» defeated by a pet!
🐾 Босса не приручить.	🐾 A boss cannot be tamed.
🐾 Предел питомцев ({max}).	🐾 Pet limit ({max}).
🐾 Вы приручили «{name}»!	🐾 You tamed «{name}»!
🐾 «{name}» вырвался — приручение не удалось.	🐾 «{name}» broke free — taming failed.
💤 «{name}» пропускает ход.	💤 «{name}» skips a turn.
🔮 «{name}» бьёт заклинанием: −{dmg} HP.	🔮 «{name}» strikes with a spell: −{dmg} HP.
🔁 Маг. контрудар: −{c} HP по «{name}».	🔁 Magic counter: −{c} HP on «{name}».
🛡️ Вы отбили удар «{name}» ({zone}).	🛡️ You blocked «{name}»'s hit ({zone}).
🔁 Контрудар: −{c} HP по «{name}».	🔁 Counter: −{c} HP on «{name}».
⚔️ Парирование удара «{name}»! Возврат −{refl} HP.	⚔️ Parried «{name}»'s hit! Reflected −{refl} HP.
⚡ Враг наносит критический удар!	⚡ The enemy lands a critical hit!
🩸 «{name}» бьёт в {zone}: −{dmg} HP{blocked}.	🩸 «{name}» hits {zone}: −{dmg} HP{blocked}.
💸 Поражение! Вы обронили {lost} золота и вернулись ослабленным.	💸 Defeat! You dropped {lost} gold and returned weakened.
☠️ Поражение! Вы возвращаетесь в башню ослабленным.	☠️ Defeat! You return to the tower weakened.
📜 Получена формула заклинания «{spell}»!	📜 Learned the spell formula «{spell}»!
📜 Найдена схема «{rec}»!	📜 Found the schematic «{rec}»!
🎁 Трофей: {item}!	🎁 Loot: {item}!
🎁 Трофей сета «{set}»: {item} [{rar}]!	🎁 Set loot «{set}»: {item} [{rar}]!
📜 Схема легендарного предмета «{rec}» получена!	📜 Schematic of legendary item «{rec}» obtained!
Добро пожаловать	Welcome
Ты — полубог, пробудившийся в недрах древней башни. Здесь сталкиваются порядок и хаос, боги и смертные.	You are a demigod awakened deep within an ancient tower, where order and chaos, gods and mortals collide.
Исследуй Вавилонскую башню, развивай героя, сражайся с монстрами и отправляйся в экспедиции за трофеями.	Explore the Tower of Babylon, grow your hero, fight monsters and venture out on expeditions for loot.
⚔️ Отправиться в путь!	⚔️ Set out on your journey!
